,\rot{Item-KNN},\rot{User-KNN},\rot{RP3beta},\rot{RP3beta},\rot{iALS},\rot{EASE-R},\rot{SlopeOne},\rot{CoClustering}
MAP_MIN_DEN@10,1/13 (2.1),1/16 (7.6),2/15 (6.0),1/14 (4.1),1/19 (7.5),1/18 (4.9),12/23 (17.9),1/21 (15.5)
MAP_MIN_DEN@50,1/13 (2.2),1/15 (7.4),2/15 (5.9),1/14 (4.3),1/19 (7.4),1/18 (5.0),14/23 (18.2),1/21 (15.6)
ARHR_ALL_HITS@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
ARHR_ALL_HITS@2,1/8 (1.6),2/17 (9.5),2/14 (5.8),1/14 (3.8),1/19 (7.4),1/18 (4.7),8/23 (16.5),1/21 (14.6)
ARHR_ALL_HITS@5,1/12 (2.1),2/16 (7.9),2/14 (5.8),1/14 (3.9),1/19 (7.4),1/18 (4.8),12/23 (17.6),1/21 (15.3)
ARHR_ALL_HITS@10,1/13 (2.1),1/16 (7.6),2/15 (6.0),1/14 (4.1),1/19 (7.5),1/18 (4.9),12/23 (17.9),1/21 (15.5)
ARHR_ALL_HITS@50,1/13 (2.2),1/15 (7.4),2/15 (5.9),1/14 (4.3),1/19 (7.4),1/18 (5.0),14/23 (18.2),1/21 (15.6)
MRR@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
MRR@2,1/8 (1.6),2/17 (9.5),2/14 (5.8),1/14 (3.8),1/19 (7.4),1/18 (4.7),8/23 (16.5),1/21 (14.6)
MRR@5,1/12 (2.1),2/16 (7.9),2/14 (5.8),1/14 (3.9),1/19 (7.4),1/18 (4.8),12/23 (17.6),1/21 (15.3)
MRR@10,1/13 (2.1),1/16 (7.6),2/15 (6.0),1/14 (4.1),1/19 (7.5),1/18 (4.9),12/23 (17.9),1/21 (15.5)
MRR@50,1/13 (2.2),1/15 (7.4),2/15 (5.9),1/14 (4.3),1/19 (7.4),1/18 (5.0),14/23 (18.2),1/21 (15.6)
HIT_RATE@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
HIT_RATE@2,1/11 (1.9),2/16 (8.4),1/14 (5.9),1/14 (3.9),1/19 (7.4),1/18 (4.6),7/23 (16.6),1/21 (14.7)
HIT_RATE@5,1/12 (2.6),1/16 (6.1),1/14 (5.9),1/13 (4.2),1/19 (7.1),1/18 (5.6),13/23 (17.9),3/21 (15.4)
HIT_RATE@10,1/12 (2.9),1/14 (4.9),1/14 (6.6),1/15 (4.6),1/19 (6.2),1/18 (6.6),14/23 (18.3),7/21 (15.9)
HIT_RATE@50,1/14 (4.3),1/12 (4.1),1/17 (7.3),1/18 (5.8),1/19 (5.4),2/18 (8.1),13/23 (18.1),2/21 (15.7)
COVERAGE_ITEM_HIT@1,1/6 (1.4),2/16 (9.2),2/12 (3.9),1/13 (3.8),1/17 (7.7),1/18 (5.2),8/21 (14.4),1/19 (12.6)
COVERAGE_ITEM_HIT@2,1/9 (1.5),1/14 (6.4),1/14 (4.5),1/14 (3.7),1/17 (8.5),1/18 (5.6),11/21 (16.2),1/20 (13.5)
COVERAGE_ITEM_HIT@5,1/11 (2.2),1/13 (4.7),1/14 (4.7),1/14 (4.0),1/17 (8.0),1/18 (6.8),13/23 (17.1),2/21 (14.8)
COVERAGE_ITEM_HIT@10,1/9 (2.3),1/11 (3.6),1/14 (4.4),1/14 (4.4),1/17 (8.1),1/18 (7.9),14/23 (17.2),7/21 (15.0)
COVERAGE_ITEM_HIT@50,1/12 (3.8),1/11 (3.8),1/14 (5.1),1/15 (5.1),1/19 (7.6),1/18 (8.0),14/23 (17.6),1/21 (14.9)
